year,decade_code,title,director,writer,plot,clean_test,budget,domgross,intgross,budget_2013,domgross_2013,intgross_2013,metascore,imdb_rating,awards
2010,1,The Switch,"Josh Gordon, Will Speck","Allan Loeb (screenplay), Jeffrey Eugenides (short story ""Baster"")","Seven years after the fact, a man comes to the realization that he was the sperm donor for his best friend's boy.",men,19000000,27758465,49858465,20296405,29652476,53260400,52,6,1 nomination.
2010,1,The Tempest,Julie Taymor,"Julie Taymor (screenplay), William Shakespeare (play)","Shakespeare's epic play is translated from page to screen, with the gender of the main character, Prospero, changed from male to female.",ok,20000000,277943,277943,21364637,296908,296908,43,5.4,Nominated for 1 Oscar. Another 2 nominations.
2010,1,The Tourist,Florian Henckel von Donnersmarck,"Florian Henckel von Donnersmarck (screenplay), Christopher McQuarrie (screenplay), Julian Fellowes (screenplay), Jérôme Salle (motion picture ""Anthony Zimmer"")","Revolves around Frank, an American tourist visiting Italy to mend a broken heart. Elise is an extraordinary woman who deliberately crosses his path.",nowomen,100000000,67631157,278731369,106823184,72245755,297749724,37,6,Nominated for 3 Golden Globes. Another 3 wins & 1 nomination.
2010,1,The Town,Ben Affleck,"Peter Craig (screenplay), Ben Affleck (screenplay), Aaron Stockard (screenplay), Chuck Hogan (novel)","As he plans his next job, a longtime thief tries to balance his feelings for a bank manager connected to one of his earlier heists, as well as the FBI agent looking to bring him and his crew down.",notalk,37000000,92186262,152566881,39524578,98476300,162976800,74,7.6,Nominated for 1 Oscar. Another 9 wins & 24 nominations.
2010,1,The Twilight Saga: Eclipse,David Slade,"Melissa Rosenberg (screenplay), Stephenie Meyer (novel)","As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.",ok,68000000,300531751,699590681,72639765,321037586,747325041,58,4.9,18 wins & 30 nominations.
2010,1,The Wolfman,Joe Johnston,"Andrew Kevin Walker (screenplay), David Self (screenplay), Curt Siodmak","Upon his return to his ancestral homeland, an American man is bitten, and subsequently cursed by, a werewolf.",notalk,150000000,62189884,142634358,160234776,66433214,152366563,43,5.8,Won 1 Oscar. Another 2 wins & 4 nominations.
2010,1,Tiny Furniture,Lena Dunham,Lena Dunham,About a recent college grad who returns home while she tries to figure out what to do with her life.,ok,50000,391674,424149,53412,418399,453089,72,6.4,3 wins & 4 nominations.
2010,1,Toy Story 3,Lee Unkrich,"John Lasseter (story), Andrew Stanton (story), Lee Unkrich (story), Michael Arndt (screenplay)","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",dubious,200000000,415004880,1063759456,213646368,443321427,1136341723,92,8.5,Won 2 Oscars. Another 36 wins & 44 nominations.
2010,1,Tron Legacy,NA,NA,NA,notalk,200000000,172062763,397562763,213646368,183802922,424689202,NA,NA,NA
2010,1,True Grit,"Ethan Coen, Joel Coen","Joel Coen (screenplay), Ethan Coen (screenplay), Charles Portis (novel)",A tough U.S. Marshal helps a stubborn young woman track down her father's murderer.,ok,35000000,171243005,252276928,37388114,182927231,269490247,80,7.7,Nominated for 10 Oscars. Another 30 wins & 85 nominations.
2010,1,Tucker and Dale vs Evil,NA,NA,NA,ok,5000000,223838,5476793,5341159,239111,5850485,NA,NA,NA
2010,1,Unstoppable,Tony Scott,Mark Bomback,"With an unmanned, half-mile-long freight train barreling toward a city, a veteran engineer and a young conductor race against the clock to prevent a catastrophe.",dubious,95000000,81562942,169511609,101482025,87128132,181077698,69,6.8,Nominated for 1 Oscar. Another 1 win & 12 nominations.
2010,1,Valentine&#39;s Day,NA,NA,NA,ok,52000000,110485654,217569328,55548056,118024294,232414484,NA,NA,NA
2010,1,Wall Street: Money Never Sleeps,Oliver Stone,"Allan Loeb, Stephen Schiff, Stanley Weiser (characters), Oliver Stone (characters)","Now out of prison but still disgraced by his peers, Gordon Gekko works his future son-in-law, an idealistic stock broker, when he sees an opportunity to take down a Wall Street enemy and rebuild his empire.",dubious,70000000,52474616,137431619,74776229,56055056,146808831,59,6.3,Nominated for 1 Golden Globe. Another 1 win & 2 nominations.
2010,1,Welcome to the Rileys,Jake Scott,Ken Hixon,"On a business trip to New Orleans, a damaged man seeks salvation by caring for a wayward young woman.",ok,10000000,152857,312857,10682318,163287,334204,50,7,1 win & 2 nominations.
2010,1,Wild Target,NA,NA,NA,notalk,8000000,109338,109338,8545855,116798,116798,NA,NA,NA
2010,1,Winter&#39;s Bone,NA,NA,NA,ok,2000000,6531503,16131552,2136464,6977159,17232238,NA,NA,NA
2010,1,Womb,NA,NA,NA,ok,13000000,NA,NA,13887014,NA,NA,NA,NA,NA
2010,1,Yogi Bear,Eric Brevig,"J.R. Ventimilia, Joshua Sternin, Brad Copeland","A documentary filmmaker travels to Jellystone Park to shoot a project and soon crosses paths with Yogi Bear, his sidekick Boo-Boo, and Ranger Smith.",nowomen,80000000,100246011,202284317,85458547,107085981,216086548,35,4.5,2 wins & 1 nomination.
2010,1,You Again,Andy Fickman,Moe Jelline,"When a young woman realizes her brother is about to marry the girl who bullied her in high school, she sets out to expose the fiancée's true colors.",ok,20000000,25702053,32838945,21364637,27455751,35079607,28,5.8,1 win.
2010,1,You Will Meet a Tall Dark Stranger,Woody Allen,Woody Allen,Sally's parents' marriage breaks up when her father undergoes a mid-lie crisis and impulsively weds a prostitute as Sally's own marriage also begins to disintegrate.,ok,15000000,3247816,34247816,16023478,3469420,36584608,51,6.3,2 wins.
2009,2,(500) Days of Summer,Marc Webb,"Scott Neustadter, Michael H. Weber","An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.",notalk,7500000,32391374,60803210,8142987,35168338,66015966,76,7.8,Nominated for 2 Golden Globes. Another 10 wins & 22 nominations.
2009,2,17 Again,Burr Steers,Jason Filardi,About a guy whose life didn't quite turn out how he wanted it to and wishes he could go back to high school and change it. He wakes up one day and is seventeen again and gets the chance to rewrite his life.,ok,40000000,64167069,139474906,43429264,69668214,151432312,48,6.4,3 wins & 4 nominations.
2009,2,2012,Roland Emmerich,"Roland Emmerich, Harald Kloser",A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,notalk,200000000,166112167,788408539,217146319,180353228,856000062,49,5.8,4 wins & 16 nominations.
2009,2,9,Shane Acker,"Pamela Pettler (screenplay), Shane Acker (story)",A rag doll that awakens in a post-apocalyptic future holds the key to humanity's salvation.,nowomen,30000000,31749894,48559999,32571948,34471863,52723125,60,7.1,6 nominations.
2009,2,A Perfect Getaway,David Twohy,David Twohy,Two pairs of lovers on a Hawaiian vacation discover that psychopaths are stalking and murdering tourists on the islands.,dubious,14000000,15515460,22815460,15200242,16845625,24771466,63,6.5,1 nomination.
2009,2,A Serious Man,"Ethan Coen, Joel Coen","Joel Coen, Ethan Coen","Larry Gopnik, a Midwestern mathematics teacher, watches his life unravel over multiple sudden incidents. Though seeking meaning and answers amidst his turmoils, he seems to keep sinking.",men,7000000,9228788,30360570,7600121,10019987,32963430,79,7,Nominated for 2 Oscars. Another 20 wins & 39 nominations.
2009,2,A Single Man,Tom Ford,"Christopher Isherwood (novel), Tom Ford (written for the screen by), David Scearce (written for the screen by)","An English professor, one year after the sudden death of his boyfriend, is unable to cope with his typical days in 1960s Los Angeles.",notalk,7000000,9176000,28142379,7600121,9962673,30555070,77,7.6,Nominated for 1 Oscar. Another 22 wins & 28 nominations.
2009,2,Adam,Max Mayer,Max Mayer,"Adam, a lonely man with Asperger's Syndrome, develops a relationship with his upstairs neighbor, Beth.",men,3200000,2277396,2828590,3474341,2472641,3071090,56,7.3,2 wins & 2 nominations.
2009,2,Adventureland,Greg Mottola,Greg Mottola,"In the summer of 1987, a college graduate takes a 'nowhere' job at his local amusement park, only to find it's the perfect course to get him prepared for the real world.",men,9800000,16044025,17144025,10640170,17419505,18613810,76,6.8,3 nominations.
2009,2,Agora,Alejandro Amenábar,"Alejandro Amenábar, Mateo Gil","A historical drama set in Roman Egypt, concerning a slave who turns to the rising tide of Christianity in the hopes of pursuing freedom while also falling in love with his master, the famous female philosophy and mathematics professor Hypatia of Alexandria.",notalk,70000000,619423,38992292,76001212,672527,42335163,55,7.2,9 wins & 12 nominations.
2009,2,Ajami,"Scandar Copti, Yaron Shani","Scandar Copti, Yaron Shani",Ajami is the religiously mixed community of Muslims and Christians in Tel Aviv. These are five stories about the everyday life in Ajami.,men,1000000,621859,621859,1085732,675172,675172,82,7.3,Nominated for 1 Oscar. Another 15 wins & 7 nominations.
2009,2,All About Steve,Phil Traill,Kim Barker,"Convinced that a CCN cameraman is her true love, an eccentric crossword puzzler trails him as he travels all over the country, hoping to convince him that they belong together.",ok,15000000,33862903,40127259,16285974,36766024,43567433,17,4.8,2 wins & 3 nominations.
2009,2,An Education,Lone Scherfig,"Lynn Barber (memoir), Nick Hornby (screenplay)","A coming-of-age story about a teenage girl in 1960s suburban London, and how her life changes with the arrival of a playboy nearly twice her age.",ok,7500000,12574914,29652736,8142987,13652981,32194912,85,7.3,Nominated for 3 Oscars. Another 25 wins & 55 nominations.
2009,2,Angels &amp; Demons,NA,NA,NA,nowomen,150000000,133375846,490875846,162859739,144810370,532959416,NA,NA,NA
2009,2,Armored,Nimród Antal,James V. Simpson,"A newbie guard for an armored truck company is coerced by his veteran coworkers to steal a truck containing $42 million. But a wrinkle in their supposedly foolproof plan divides the group, leading to a potentially deadly resolution.",nowomen,20000000,15988876,23661038,21714632,17359628,25689537,50,5.7,N/A
2009,2,Astro Boy,David Bowers,"Osamu Tezuka (manga), David Bowers (story), Timothy Harris, David Bowers","When an android replica of a boy is rejected by his aggrieved creator, he goes off to find his own identity in an adventure that would make him his time's greatest hero.",dubious,65000000,19551067,44093014,70572554,21227211,47873178,53,6.4,4 nominations.
2009,2,Avatar,James Cameron,James Cameron,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,men,425000000,760507625,2783918982,461435929,825707158,3022588801,83,8,Won 3 Oscars. Another 58 wins & 74 nominations.
2009,2,Away We Go,Sam Mendes,"Dave Eggers, Vendela Vida","A couple who is expecting their first child travel around the U.S. in order to find a perfect place to start their family. Along the way, they have misadventures and find fresh connections with an assortment of relatives and old friends who just might help them discover ""home"" on their own terms for the first time.",ok,21000000,9451946,10108016,22800364,10262276,10974592,58,7.1,6 nominations.
2009,2,Br&uuml;no,NA,NA,NA,nowomen,42000000,60054530,130788243,45600727,65203101,142000928,NA,NA,NA
2009,2,Bride Wars,Gary Winick,"Greg DePaul (screenplay), Casey Wilson (screenplay), June Diane Raphael (screenplay), Greg DePaul (story)",Two best friends become rivals when they schedule their respective weddings on the same day.,ok,30000000,58715510,115150424,32571948,63749284,125022454,24,5.3,1 win & 8 nominations.
2009,2,Bright Star,Jane Campion,"Jane Campion, Jane Campion (screenplay), Andrew Motion (biography ""Keats"")",The three-year romance between 19th century poet John Keats and Fanny Brawne.,ok,8500000,4444637,17260680,9228719,4825683,18740466,81,7,Nominated for 1 Oscar. Another 10 wins & 30 nominations.
2009,2,Brooklyn&#39;s Finest,NA,NA,NA,notalk,17000000,27163593,39233233,18457437,29492371,42596761,NA,NA,NA
2009,2,Brothers,Jim Sheridan,"David Benioff (screenplay), Susanne Bier (motion picture ""Brødre""), Anders Thomas Jensen (motion picture ""Brødre"")",A young man comforts his older brother's wife and children after he goes missing in Afghanistan.,ok,26000000,28544157,45043870,28229022,30991293,48905553,58,7.2,Nominated for 2 Golden Globes. Another 1 win & 10 nominations.
2009,2,Capitalism: A Love Story,Michael Moore,Michael Moore,An examination of the social costs of corporate interests pursuing profits at the expense of the public good.,notalk,20000000,14363397,19121531,21714632,15594794,20760850,61,7.4,5 wins & 7 nominations.
2009,2,Case 39,Christian Alvart,Ray Wright,"A social worker fights to save a girl from her abusive parents, only to discover that the situation is more dangerous than she ever expected.",ok,27000000,13261851,29302804,29314753,14398811,31814980,25,6.2,2 nominations.
2009,2,Chloe,Atom Egoyan,"Erin Cressida Wilson (screenplay), Anne Fontaine (motion picture ""Nathalie"")","A doctor hires an escort to seduce her husband, whom she suspects of cheating, though unforeseen events put the family in danger.",men,13000000,3075255,9675172,14114511,3338902,10504640,48,6.3,2 wins & 4 nominations.
2009,2,Cloudy with a Chance of Meatballs,"Phil Lord, Christopher Miller","Phil Lord (written for the screen by), Christopher Miller (written for the screen by), Judi Barrett (book), Ron Barrett (book), Rob Greenberg (additional screenplay material)","The most delicious event since macaroni met cheese. Inspired by the beloved children's book, the film focuses on a town where food falls from the sky like rain.",notalk,100000000,124870275,236827677,108573160,135575603,257131292,66,7,Nominated for 1 Golden Globe. Another 1 win & 10 nominations.
2009,2,Coco avant Chanel,NA,NA,NA,ok,23000000,6113834,50813834,24971827,6637983,55170185,NA,NA,NA
2009,2,Coraline,Henry Selick,"Henry Selick (screenplay), Neil Gaiman (book)","An adventurous girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",ok,60000000,75286229,126037057,65143896,81740638,136842415,80,7.7,Nominated for 1 Oscar. Another 8 wins & 24 nominations.
2009,2,Daybreakers,"Michael Spierig, Peter Spierig","Michael Spierig, Peter Spierig","In the year 2019, a plague has transformed almost every human into vampires. Faced with a dwindling blood supply, the fractured dominant race plots their survival; meanwhile, a researcher works with a covert band of vamps on a way to save humankind.",notalk,20000000,30101577,51401577,21714632,32682233,55808316,57,6.5,4 wins & 4 nominations.
2009,2,Dead Snow,Tommy Wirkola,"Tommy Wirkola, Stig Frode Henriksen","A ski vacation turns horrific for a group of medical students, as they find themselves confronted by an unimaginable menace: Nazi zombies.",men,800000,46742,2194020,868585,50749,2382117,61,6.4,1 win.
2009,2,District 9,Neill Blomkamp,"Neill Blomkamp, Terri Tatchell",An extraterrestrial race forced to live in slum-like conditions on Earth suddenly finds a kindred spirit in a government agent who is exposed to their biotechnology.,notalk,30000000,115646235,215196627,32571948,125560771,233645777,81,8,Nominated for 4 Oscars. Another 15 wins & 52 nominations.
2009,2,Drag Me to Hell,Sam Raimi,"Sam Raimi, Ivan Raimi","A loan officer who evicts an old woman from her home finds herself the recipient of a supernatural curse. Desperate, she turns to a seer to try and save her soul, while evil forces work to push her to a breaking point.",ok,30000000,42100625,91388487,32571948,45709979,99223368,83,6.7,4 wins & 7 nominations.
2009,2,Enter the Void,Gaspar Noé,"Gaspar Noé, Lucile Hadzihalilovic (with the help of)","A U.S. drug dealer living in Tokyo is betrayed by his best friend and killed in a drug deal. His soul, observing the repercussions of his death, seeks resurrection.",notalk,16000000,337997,337997,17371706,366974,366974,69,7.3,3 wins & 3 nominations.
2009,2,Everybody&#39;s Fine,NA,NA,NA,men,20000000,9208876,9208876,21714632,9998368,9998368,NA,NA,NA
2009,2,Fantastic Mr. Fox,Wes Anderson,"Roald Dahl (novel), Wes Anderson (screenplay), Noah Baumbach (screenplay)",An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,notalk,40000000,21002919,46498922,43429264,22803533,50485349,83,7.8,Nominated for 2 Oscars. Another 30 wins & 20 nominations.
2009,2,Fast &amp; Furious,NA,NA,NA,notalk,85000000,155064265,363064265,92287186,168358172,394190344,NA,NA,NA
2009,2,Fired Up!,Will Gluck,Will Gluck,The two most popular guys in high school decide to ditch football camp for cheerleader camp. For the girls and for the glory.,notalk,20000000,17231291,18608570,21714632,18708557,20203912,31,6.2,1 win.
2009,2,Fish Tank,Andrea Arnold,Andrea Arnold,Everything changes for 15-year-old Mia when her mum brings home a new boyfriend.,ok,3000000,374675,5922292,3257195,406796,6430020,81,7.3,20 wins & 22 nominations.
2009,2,Friday the 13th,Marcus Nispel,"Damian Shannon (screenplay), Mark Swift (screenplay), Damian Shannon (story), Mark Swift (story), Mark Wheaton (story), Victor Miller (characters)","A group of young adults discover a boarded up Camp Crystal Lake, where they soon encounter Jason Voorhees and his deadly intentions.",men,17000000,65002019,91700771,18457437,70574746,99562425,34,5.6,2 wins & 1 nomination.
2009,2,Funny People,Judd Apatow,Judd Apatow,"When seasoned comedian George Simmons learns of his terminal, inoperable health condition, his desire to form a genuine friendship cause him to take a relatively green performer under his wing as his opening act.",notalk,72500000,51855045,71880305,78715541,56300661,78042718,60,6.4,2 nominations.
2009,2,G-Force,Hoyt Yeatman,"Cormac Wibberley (screenplay), Marianne Wibberley (screenplay), Hoyt Yeatman (story), David P.I. James (story)",A specially trained squad of guinea pigs is dispatched to stop a diabolical billionaire from taking over the world.,notalk,150000000,119436770,287389685,162859739,129676275,312028062,41,5.1,1 win & 1 nomination.
2009,2,G.I. Joe: The Rise of Cobra,Stephen Sommers,"Stuart Beattie (screenplay), David Elliot (screenplay), Paul Lovett (screenplay), Michael Gordon (story), Stuart Beattie (story), Stephen Sommers (story)","An elite military unit comprised of special operatives known as G.I. Joe, operating out of The Pit, takes on an evil organization led by a notorious arms dealer.",notalk,175000000,150201498,302469017,190003029,163078512,328400169,32,5.8,3 wins & 11 nominations.
2009,2,Gamer,"Mark Neveldine, Brian Taylor","Mark Neveldine, Brian Taylor","In a future mind-controlling game, death row convicts are forced to battle in a 'doom'-type environment. Convict Kable, controlled by Simon, a skilled teenage gamer, must survive 30 sessions in order to be set free. Or won't he?",notalk,50000000,20534907,35062683,54286580,22295397,38068663,27,5.8,1 win.
2009,2,Get Low,Aaron Schneider,"Chris Provenzano (screenplay), C. Gaby Mitchell (screenplay), Chris Provenzano (story), Scott Seeke (story)","A movie spun out of equal parts folk tale, fable and real-life legend about the mysterious, 1930s Tennessee hermit who famously threw his own rollicking funeral party... while he was still alive.",notalk,7000000,9176933,9696933,7600121,9963686,10528267,77,7.1,2 wins & 19 nominations.
2009,2,Harry Brown,Daniel Barber,Gary Young (screenplay),An elderly ex-serviceman and widower looks to avenge his best friend's murder by doling out his own form of justice.,notalk,7300000,1818681,6294140,7925841,1974599,6833747,55,7.3,1 win & 3 nominations.
2009,2,Harry Potter and the Half-Blood Prince,David Yates,"Steve Kloves (screenplay), J.K. Rowling (novel)","As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",ok,250000000,301959197,934416487,271432899,327846641,1014525504,78,7.4,Nominated for 1 Oscar. Another 7 wins & 25 nominations.
2009,2,He&#39;s Just Not That Into You,NA,NA,NA,ok,40000000,93953653,178390243,43429264,102008450,193683923,NA,NA,NA
2009,2,I Come with the Rain,Tran Anh Hung,Tran Anh Hung,Ex-Los Angeles cop turned private eye travels to Hong Kong in search of the missing son of a billionaire.,nowomen,18000000,0,627422,19543169,NA,681212,NA,5.4,N/A
2009,2,I Love You Phillip Morris,"Glenn Ficarra, John Requa","John Requa, Glenn Ficarra, Steve McVicker (book)","A cop turns con man once he comes out of the closet. Once imprisoned, he meets the second love of his life, whom he'll stop at nothing to be with.",notalk,13000000,2037459,15144685,14114511,2212134,16443063,65,6.7,1 win & 4 nominations.
2009,2,"I Love You, Man",John Hamburg,"John Hamburg (screenplay), Larry Levin (screenplay), Larry Levin (story)","Friendless Peter Klaven goes on a series of man-dates to find a Best Man for his wedding. But when his insta-bond with his new B.F.F. puts a strain on his relationship with his fiancée, can the trio learn to live happily ever after?",men,40000000,71440011,91729503,43429264,77564677,99593620,70,7.1,1 win & 5 nominations.
2009,2,Ice Age: Dawn of the Dinosaurs,"Carlos Saldanha, Mike Thurmeier","Peter Ackerman (screenplay), Michael Berg (screenplay), Yoni Brenner (screenplay), Jason Carter Eaton (story), Mike Reiss (screenplay)","When Sid's attempt to adopt three dinosaur eggs gets him abducted by their real mother to an underground lost world, his friends attempt to rescue him.",notalk,90000000,196573705,886968695,97715844,213426283,963009937,50,7.1,1 win & 12 nominations.
2009,2,Inglourious Basterds,"Quentin Tarantino, Eli Roth",Quentin Tarantino,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",dubious,70000000,120831050,316971720,76001212,131190089,344146212,69,8.3,Won 1 Oscar. Another 76 wins & 63 nominations.
2009,2,Invictus,Clint Eastwood,"Anthony Peckham (screenplay), John Carlin (book)","Nelson Mandela, in his first term as the South African President, initiates a unique venture to unite the apartheid-torn land: enlist the national rugby team on a mission to win the 1995 Rugby World Cup.",notalk,49000000,37491364,124491364,53200848,40705558,135164207,74,7.4,Nominated for 2 Oscars. Another 8 wins & 21 nominations.
2009,2,It&#39;s Complicated,NA,NA,NA,ok,85000000,112735375,224614744,92287186,122400359,243871325,NA,NA,NA
2009,2,Jennifer&#39;s Body,NA,NA,NA,ok,16000000,16204793,32832166,17371706,17594056,35646920,NA,NA,NA
2009,2,Julie &amp; Julia,NA,NA,NA,ok,40000000,94125426,126646119,43429264,102194949,137503693,NA,NA,NA
2009,2,Knowing,Alex Proyas,"Ryne Douglas Pearson (screenplay), Juliet Snowden (screenplay), Stiles White (screenplay), Ryne Douglas Pearson (story)",M.I.T. professor John Koestler links a mysterious list of numbers from a time capsule to past and future disasters and sets out to prevent the ultimate catastrophe.,notalk,50000000,79957634,187858642,54286580,86812530,203964063,41,6.2,1 win & 3 nominations.
2009,2,Law Abiding Citizen,F. Gary Gray,Kurt Wimmer,A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free. He targets not only the killer but also the district attorney and others involved in the deal.,notalk,53000000,73357727,131159781,57543775,79646802,142404318,34,7.4,2 wins & 5 nominations.
2009,2,Life During Wartime,Todd Solondz,Todd Solondz,"Friends, family, and lovers struggle to find love, forgiveness, and meaning in a war-torn world riddled with comedy and pathos.",ok,4500000,281447,281447,4885792,305576,305576,69,6.5,3 wins & 5 nominations.
2009,2,Micmacs (Micmacs &agrave; tire-larigot),NA,NA,NA,dubious,42000000,1259693,11756922,45600727,1367688,12764862,NA,NA,NA
2009,2,Monsters vs Aliens,"Rob Letterman, Conrad Vernon","Maya Forbes (screenplay), Wallace Wolodarsky (screenplay), Rob Letterman (screenplay), Jonathan Aibel (screenplay), Glenn Berger (screenplay), Rob Letterman (story), Conrad Vernon (story)",A woman transformed into a giant after she is struck by a meteorite on her wedding day becomes part of a team of monsters sent in by the U.S. government to defeat an alien mastermind trying to take over Earth.,dubious,175000000,198351526,381687380,190003029,215356519,414410048,56,6.6,3 wins & 8 nominations.
2009,2,Moon,Duncan Jones,"Duncan Jones (story), Nathan Parker","Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.",notalk,5000000,5010163,10676073,5428658,5439692,11591350,67,8,Won 1 BAFTA Film Award. Another 21 wins & 20 nominations.
2009,2,Mother and Child,Rodrigo García,Rodrigo García,"A drama centered around three women: A 50-year-old woman, the daughter she gave up for adoption 35 years ago, and an African American woman looking to adopt a child of her own.",ok,7000000,1110509,5010509,7600121,1205715,5440068,64,7.3,1 win & 9 nominations.
2009,2,My Bloody Valentine 3D,NA,NA,NA,men,14000000,51545952,102754998,15200242,55965069,111564348,NA,NA,NA
2009,2,My Sister&#39;s Keeper,NA,NA,NA,ok,27500000,49200230,96673002,29857619,53418244,104960933,NA,NA,NA
2009,2,Nine,Rob Marshall,"Michael Tolkin (screenplay), Anthony Minghella (screenplay), Arthur Kopit (Broadway musical ""Nine""), Maury Yeston (Broadway musical ""Nine""), Mario Fratti (Broadway musical ""Nine"" Italian original)","Famous film director Guido Contini struggles to find harmony in his professional and personal lives, as he engages in dramatic relationships with his wife, his mistress, his muse, his agent, and his mother.",men,80000000,19676965,53508858,86858528,21363903,58096258,49,5.9,Nominated for 4 Oscars. Another 5 wins & 35 nominations.
2009,2,Ninja Assassin,James McTeigue,"Matthew Sand (screenplay), J. Michael Straczynski (screenplay), Matthew Sand (story)","A young ninja turns his back on the orphanage that raised him, leading to a confrontation with a fellow ninja from the clan.",notalk,50000000,38122883,61622883,54286580,41391219,66905911,34,6.4,N/A
2009,2,Nowhere Boy,Sam Taylor-Johnson,Matt Greenhalgh (screenplay),"A chronicle of John Lennon's first years, focused mainly in his adolescence and his relationship with his stern aunt Mimi, who raised him, and his absentee mother Julia, who re-entered his life at a crucial moment in his young life.",dubious,1900000,1445366,7785229,2062890,1569280,8452669,67,7.2,Nominated for 3 BAFTA Film Awards. Another 5 wins & 18 nominations.
2009,2,Ondine,Neil Jordan,Neil Jordan,The story of an Irish fisherman who discovers a woman in his fishing net who he believes to be a Selke (a water nymph).,ok,12000000,550472,550472,13028779,597665,597665,65,6.8,6 wins & 6 nominations.
2009,2,Paa,R. Balki,R. Balki,"A politician's relationship with his unusually developed son - the child suffers from a disease that causes him to age rapidly, rendering him an old man.",men,4300000,199228,9791282,4668646,216308,10630704,30,7.1,8 wins & 9 nominations.
2009,2,Pandorum,Christian Alvart,"Travis Milloy (screenplay), Travis Milloy (story), Christian Alvart (story)",A pair of crew members aboard a spaceship wake up with no knowledge of their mission or their identities.,notalk,40000000,10330853,17033431,43429264,11216534,18493734,28,6.8,N/A
2009,2,Perrier&#39;s Bounty,NA,NA,NA,nowomen,6600000,828,828,7165829,899,899,NA,NA,NA
2009,2,Planet 51,"Jorge Blanco, Javier Abad, Marcos Martínez","Javier Abad (original idea by), Jorge Blanco (original idea by), Marcos Martínez (original idea by), Ignacio Pérez Dolset (original idea by), Joe Stillman","American astronaut Captain Charles ""Chuck"" Baker lands on Planet 51 thinking he's the first person to step foot on it. To his surprise, he finds that this planet is inhabited by little green people who are happily living in a white picket fence world, and whose only fear is that it will be overrun by alien invaders...like Chuck!",notalk,60000000,42194060,108996113,65143896,45811424,118340524,39,6.1,2 wins & 4 nominations.
2009,2,Precious: Based on the Novel Push by Sapphire,NA,NA,NA,ok,10000000,47566524,68722848,10857316,51644478,74614567,NA,NA,NA
2009,2,Public Enemies,Michael Mann,"Ronan Bennett (screenplay), Michael Mann (screenplay), Ann Biderman (screenplay), Bryan Burrough (book)","The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson and Pretty Boy Floyd during a booming crime wave in the 1930s.",notalk,102500000,97104620,210379983,111287489,105429554,228416195,70,7,1 win & 10 nominations.
2009,2,Push,Paul McGuigan,David Bourla,Two young Americans with special abilities must race to find a girl in Hong Kong before a shadowy government organization called Division does.,ok,38000000,31811527,44411527,41257801,34538780,48218998,36,6.1,1 win & 2 nominations.
2009,2,Sherlock Holmes,Guy Ritchie,"Michael Robert Johnson (screenplay), Anthony Peckham (screenplay), Simon Kinberg (screenplay), Lionel Wigram (screen story), Michael Robert Johnson (screen story), Arthur Conan Doyle (characters: Sherlock Holmes,  Dr. Watson)",Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,notalk,90000000,209028679,498438212,97715844,226949041,541170116,57,7.6,Nominated for 2 Oscars. Another 9 wins & 20 nominations.
2009,2,Splice,Vincenzo Natali,"Vincenzo Natali (screenplay), Antoinette Terry Bryant (screenplay), Doug Taylor (screenplay), Vincenzo Natali (story), Antoinette Terry Bryant (story)",Genetic engineers Clive Nicoli and Elsa Kast hope to achieve fame by successfully splicing together the DNA of different animals to create new hybrid animals for medical use.,ok,30000000,17010170,22461001,32571948,18468479,24386618,66,5.8,3 wins & 19 nominations.
2009,2,Star Trek,J.J. Abrams,"Roberto Orci, Alex Kurtzman, Gene Roddenberry (television series ""Star Trek"")","The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful, time-traveling Romulan creates black holes to destroy the Federation one planet at a time.",ok,140000000,257730019,385680446,152002424,279825625,418745446,83,8.1,Won 1 Oscar. Another 19 wins & 47 nominations.
